voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-27717.98094,28370.76713,-652.7861927,-90.21906238,186.981022,-96.76195965,1
-28329.85176,27761.65845,568.1933046,-96.32933058,186.9905432,-90.66121263,1
-28901.46431,27113.09894,1788.365368,-102.3027095,186.7343406,-84.43163106,1
-29432.0063,26426.01024,3005.996067,-108.1307107,186.2127782,-78.08206752,1
-29920.7238,25701.36872,4219.35508,-113.8050523,185.4265974,-71.6215451,1
-30366.92232,24940.20416,5426.718159,-119.3176706,184.3769151,-65.05924454,1
-30769.96777,24143.5982,6626.369575,-124.660732,183.0652232,-58.40449123,1
-31129.28742,23312.68286,7816.604557,-129.8266437,181.4933856,-51.66674195,1
-31444.37065,22448.63893,8995.731716,-134.8080646,179.663636,-44.85557139,1
-31714.7697,21552.69425,10162.07545,-139.5979159,177.5785745,-37.98065862,1
-31940.10034,20626.12202,11313.97831,-144.1893909,175.2411641,-31.05177325,1
-32120.04234,19670.23894,12449.8034,-148.5759648,172.6547265,-24.07876161,1
-32254.34,18686.40337,13567.93663,-152.7514042,169.822937,-17.07153274,1
-32342.80248,17676.0134,14666.78908,-156.7097755,166.7498198,-10.04004428,1
-32385.30408,16640.50485,15744.79923,-160.4454537,163.4397421,-2.994288375,1
-32381.78438,15581.34923,16800.43515,-163.95313,159.8974075,4.055722582,1
-32332.24839,14500.05166,17832.19673,-167.22782,156.1278499,11.09997013,1
-32236.76651,13398.14872,18838.61779,-170.2648702,152.1364261,18.12844402,1
-32095.47442,12277.20628,19818.26814,-173.0599646,147.9288082,25.1311564,1
-31908.57291,11138.81726,20769.75564,-175.6091313,143.5109753,32.09815603,1
-31676.32756,9984.599372,21691.72819,-177.9087479,138.8892055,39.01954242,1
-31399.06842,8816.19282,22582.8756,-179.9555464,134.0700665,45.88547991,1
-31077.18949,7635.257976,23441.93152,-181.7466182,129.0604066,52.68621162,1
-30711.14817,6443.473012,24267.67516,-183.2794181,123.8673448,59.41207334,1
-30301.46463,5242.53152,25058.93311,-184.5517679,118.4982607,66.05350725,1
-29848.72105,4034.140105,25814.58095,-185.5618596,112.9607841,72.60107552,1
-29353.56081,2820.015955,26533.54485,-186.3082577,107.2627841,79.04547368,1
-28816.68754,1601.884409,27214.80314,-186.7899016,101.4123577,85.3775439,1
-28238.86419,381.4764971,27857.38769,-187.0061069,95.41781889,91.58828796,1
-27620.91187,-839.4735137,28460.38538,-186.9565662,89.28768611,97.66888005,1
-26963.70872,-2059.230587,29022.93931,-186.64135,83.03067065,103.6106793,1
-26268.18866,-3276.06138,29544.25004,-186.0609062,76.65566405,109.4052421,1
-25535.34007,-4488.236712,30023.57678,-185.2160597,70.17172557,115.0443341,1
-24766.20437,-5694.034013,30460.23838,-184.108011,63.58806922,120.5199418,1
-23961.87453,-6891.73978,30853.61431,-182.7383348,56.91405075,125.8242841,1
-23123.49356,-8079.652008,31203.14557,-181.1089774,50.15915429,130.9498231,1
-22252.25284,-9256.082608,31508.33545,-179.2222543,43.33297894,135.8892754,1
-21349.39045,-10419.35981,31768.75026,-177.0808465,36.44522505,140.6356215,1
-20416.18941,-11567.83053,31984.01994,-174.6877972,29.5056805,145.1821167,1
-19453.97584,-12699.86273,32153.83857,-172.0465069,22.52420676,149.5223001,1
-18464.11711,-13813.84773,32277.96484,-169.1607291,15.51072489,153.6500042,1
-17448.01987,-14908.2025,32356.22236,-166.0345647,8.475201439,157.5593632,1
-16407.12803,-15981.37189,32388.49992,-162.6724561,1.427634259,161.2448218,1
-15342.92076,-17031.83088,32374.75164,-159.079181,-5.621961668,164.7011426,1
-14256.91036,-18058.08671,32314.99707,-155.2598457,-12.66356848,167.9234141,1
-13150.64012,-19058.68101,32209.32112,-151.2198776,-19.68717967,170.9070573,1
-12025.68209,-20032.19188,32057.87397,-146.9650178,-26.6828143,173.6478321,1
-10883.63491,-20977.23591,31860.87082,-142.5013127,-33.64053118,176.1418439,1
-9726.121493,-21892.47013,31618.59163,-137.8351055,-40.55044304,178.3855485,1
-8554.786723,-22776.59396,31331.38069,-132.973027,-47.40273049,180.3757575,1
-7371.295134,-23628.35101,30999.64614,-127.9219866,-54.18765607,182.1096426,1
-6177.32853,-24446.53087,30623.8594,-122.689162,-60.89557803,183.58474,1
-4974.583605,-25229.97088,30204.55449,-117.2819894,-67.51696404,184.7989534,1
-3764.769524,-25977.55772,29742.32724,-111.7081527,-74.04240475,185.7505574,1
-2549.6055,-26688.22902,29237.83452,-105.9755726,-80.46262715,186.4381997,1
