voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-11889.42086,-15684.65606,27574.07692,-263.0980286,-25.2874266,288.3854552,1
-10939.64416,-16532.25465,27471.89881,-256.0854312,-37.26998086,293.3554121,1
-9974.321632,-17356.35999,27330.68163,-248.7089225,-49.19957244,297.9084949,1
-8994.825045,-18155.801,27150.62605,-240.9789847,-61.05924873,302.0382334,1
-8002.546319,-18929.44163,26931.98794,-232.9066026,-72.83215648,305.7387591,1
-6998.895537,-19676.18248,26675.07801,-224.5032475,-84.50156576,309.0048133,1
-5985.298942,-20394.96239,26380.26133,-215.780861,-96.05089369,311.8317547,1
-4963.196909,-21084.75995,26047.95686,-206.7518381,-107.463728,314.2155661,1
-3934.041902,-21744.59492,25678.63682,-197.4290095,-118.7238506,316.15286,1
-2899.296405,-22373.52962,25272.82602,-187.8256234,-129.81526,317.6408834,1
-1860.430851,-22970.67031,24831.10116,-177.9553269,-140.7221948,318.6775217,1
-818.9215216,-23535.16843,24354.08995,-167.8321462,-151.4291557,319.2613019,1
223.7515397,-24066.22178,23842.47024,-157.4704667,-161.9209275,319.3913942,1
1266.106638,-24563.07571,23296.96907,-146.8850131,-172.1826008,319.0676139,1
2306.662529,-25025.02417,22718.36164,-136.0908279,-182.1995932,318.2904211,1
3343.940527,-25451.4107,22107.47018,-125.1032502,-191.95767,317.0609202,1
4376.466602,-25841.62938,21465.16278,-113.9378939,-201.4429644,315.3808583,1
5402.773478,-26195.1257,20792.35222,-102.6106256,-210.6419974,313.252623,1
6421.402718,-26511.39731,20089.99459,-91.13754199,-219.5416966,310.6792386,1
7430.906793,-26789.99477,19359.08797,-79.53494696,-228.129415,307.6643619,1
8429.851143,-27030.52218,18600.67104,-67.81932842,-236.392949,304.2122774,1
9416.816214,-27232.63774,17815.82153,-56.0073349,-244.3205557,300.3278906,1
10390.39947,-27396.05423,17005.65476,-44.1157519,-251.9009695,296.0167214,1
11349.21741,-27520.53943,16171.32203,-32.16147799,-259.1234183,291.2848963,1
12291.90748,-27605.91644,15314.00896,-20.16150087,-265.9776385,286.1391394,1
13217.13008,-27652.06393,14434.93385,-8.132873149,-272.4538899,280.5867631,1
14123.57042,-27658.91633,13535.34591,3.907311828,-278.5429695,274.6356576,1
15009.94039,-27626.46389,12616.5235,15.9419443,-284.2362242,268.2942799,1
15874.98041,-27554.75273,11679.77232,27.9539224,-289.5255637,261.5716413,1
16717.46122,-27443.88476,10726.42355,39.92617645,-294.4034716,254.4772951,1
17536.1856,-27294.01753,9757.831937,51.84169321,-298.863016,247.0213228,1
18329.9901,-27105.36401,8775.373915,63.68354009,-302.8978597,239.2143196,1
19097.74668,-26878.19228,7780.445606,75.43488918,-306.5022689,231.0673798,1
19838.36432,-26612.82518,6774.460858,87.07904116,-309.6711217,222.5920806,1
20550.79055,-26309.63979,5758.849231,98.59944905,-312.3999149,213.8004658,1
21234.01299,-25969.06696,4735.053964,109.9797417,-314.6847707,204.7050289,1
21887.06074,-25591.59066,3704.529925,121.2037472,-316.5224422,195.318695,1
22509.00577,-25177.74732,2668.741548,132.2555155,-317.910318,185.6548025,1
23098.96428,-24728.12502,1629.160742,143.1193415,-318.8464258,175.7270844,1
23656.09789,-24243.3627,587.26481,153.779787,-319.3294355,165.5496485,1
24179.6149,-23724.14924,-455.4656576,164.2217031,-319.3586605,155.1369574,1
24668.77134,-23171.22246,-1497.548884,174.4302511,-318.9340594,144.5038083,1
25122.87212,-22585.36811,-2537.504011,184.3909242,-318.0562356,133.6653113,1
25541.27191,-21967.41871,-3573.853206,194.0895678,-316.7264364,122.6368686,1
25923.37617,-21318.25241,-4605.12376,203.5123994,-314.9465516,111.4341522,1
26268.64188,-20638.7917,-5629.850181,212.6460287,-312.7191106,100.0730818,1
26576.57842,-19930.00215,-6646.576277,221.4774765,-310.0472786,88.5698021,1
26846.74819,-19192.89097,-7653.857224,229.9941926,-306.9348524,76.94065983,1
27078.76726,-18428.50564,-8650.261622,238.1840743,-303.386255,65.20218067,1
27272.30592,-17637.93239,-9634.373524,246.0354835,-299.4065292,53.37104564,1
27427.08914,-16822.29468,-10604.79445,253.5372628,-295.0013302,41.46406744,1
27542.89696,-15982.75157,-11560.14539,260.6787518,-290.1769183,29.49816653,1
27619.56483,-15120.4961,-12499.06873,267.449802,-284.9401491,17.49034711,1
27656.98378,-14236.75357,-13420.23021,273.8407914,-279.2984643,5.45767295,1
27655.10064,-13332.77983,-14322.3208,279.842638,-273.2598811,-6.582756862,1
27613.91809,-12409.85949,-15204.0586,285.4468129,-266.8329807,-18.61383222,1
27533.49465,-11469.30406,-16064.19059,290.6453523,-260.026896,-30.6184563,1
27413.94461,-10512.45011,-16901.49449,295.4308688,-252.8512989,-42.57956987,1
27255.43785,-9540.657404,-17714.78045,299.7965618,-245.3163863,-54.48017555,1
27058.19963,-8555.306899,-18502.89273,303.7362275,-237.4328656,-66.30336192,1
26822.51022,-7557.798834,-19264.71139,307.2442674,-229.2119398,-78.03232759,1
26548.70456,-6549.550724,-19999.15383,310.3156964,-220.6652914,-89.65040504,1
26237.17173,-5531.995344,-20705.17639,312.9461498,-211.8050654,-101.1410844,1
25888.35445,-4506.578696,-21381.77576,315.1318896,-202.6438529,-112.4880367,1
25502.74841,-3474.757953,-22027.99045,316.8698097,-193.1946724,-123.6751373,1
25080.90156,-2437.999388,-22642.90217,318.1574405,-183.4709517,-134.6864889,1
24623.41337,-1397.776294,-23225.63708,318.9929522,-173.4865087,-145.5064435,1
24130.93397,-355.5668821,-23775.36709,319.3751574,-163.2555319,-156.1196255,1
23604.16319,687.1478094,-24291.311,319.3035131,-152.7925601,-166.510953,1
23043.84961,1728.886026,-24772.73563,318.778121,-142.1124616,-176.6656593,1
22450.78945,2768.167401,-25218.95685,317.7997277,-131.2304136,-186.5693141,1
21825.82549,3803.515059,-25629.34055,316.3697237,-120.16188,-196.2078436,1
21169.84584,4833.457714,-26003.30356,314.4901409,-108.9225898,-205.5675511,1
20483.78269,5856.531761,-26340.31445,312.1636505,-97.52851461,-214.6351358,1
19768.61095,6871.283356,-26639.89431,309.3935584,-85.99584607,-223.3977123,1
